9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
9,10,10,8,10,10,8,10,14,0,0,0,0,0,0,0,0,0,0,4
5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4
5,0,0,5,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,4
5,0,0,5,0,3,2,6,0,0,0,0,0,0,0,0,0,0,0,4
5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5,0,3,2,6,0,9,8,12,0,0,0,0,0,0,0,0,0,0,4
5,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,4
3,10,10,10,10,10,10,2,14,2,2,2,2,2,2,2,2,2,2,6
